token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
11630,NTPC LTD,NTPC,NTPC-EQ,Ok,02-08-2023 09:15:00,1690947900,225.00,225.00,222.55,222.65,223.54,1671977,0,1671977,0
20242,OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,Ok,02-08-2023 09:15:00,1690947900,1082.15,1112.00,1082.15,1109.00,1101.17,131115,0,131115,0
2475,OIL AND NATURAL GAS CORP.,ONGC,ONGC-EQ,Ok,02-08-2023 09:15:00,1690947900,177.20,178.65,176.10,177.10,177.80,1186300,0,1186300,0
5701,CITY UNION BANK LTD,CUB,CUB-EQ,Ok,02-08-2023 09:15:00,1690947900,134.30,134.35,132.75,133.35,133.78,419446,0,419446,0
637,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,CHAMBLFERT-EQ,Ok,02-08-2023 09:15:00,1690947900,280.50,280.95,278.50,278.75,279.55,169451,0,169451,0
11351,PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,Ok,02-08-2023 09:15:00,1690947900,232.80,232.95,230.40,230.45,231.40,189788,0,189788,0
2664,PIDILITE INDUSTRIES LTD,PIDILITIND,PIDILITIND-EQ,Ok,02-08-2023 09:15:00,1690947900,2640.00,2643.70,2625.55,2635.00,2635.68,23277,0,23277,0
10666,PUNJAB NATIONAL BANK,PNB,PNB-EQ,Ok,02-08-2023 09:15:00,1690947900,61.10,61.15,60.55,60.60,60.77,4920752,0,4920752,0
11872,GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,Ok,02-08-2023 09:15:00,1690947900,327.05,327.40,322.10,322.30,323.83,225899,0,225899,0
14977,POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,Ok,02-08-2023 09:15:00,1690947900,252.25,253.05,249.75,252.10,251.37,1979634,0,1979634,0
