UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,14977,Ok,25-07-2023 09:15:00,1690256700,224.05,225.05,224.05,225.00,224.68,43030,0,43030,0
THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,2043,Ok,25-07-2023 09:15:00,1690256700,883.55,895.00,883.55,894.20,890.84,15201,0,15201,0
RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,18391,Ok,25-07-2023 09:15:00,1690256700,2497.55,2518.45,2463.85,2480.00,2481.19,124590,0,124590,0
HDFC AMC LIMITED,HDFCAMC,HDFCAMC-EQ,4244,Ok,25-07-2023 09:15:00,1690256700,90.05,91.05,89.80,91.00,90.50,2701656,0,2701656,0
REC LIMITED,RECLTD,RECLTD-EQ,15355,Ok,25-07-2023 09:15:00,1690256700,2491.65,2492.85,2480.05,2489.10,2486.85,635301,0,635301,0
RELIANCE INDUSTRIES LTD,RELIANCE,RELIANCE-EQ,2885,Ok,25-07-2023 09:15:00,1690256700,174.05,174.20,172.25,173.70,173.34,2795048,0,2795048,0
STEEL AUTHORITY OF INDIA,SAIL,SAIL-EQ,2963,Ok,25-07-2023 09:15:00,1690256700,222.30,223.25,221.00,221.35,222.15,1032148,0,1032148,0
STATE BANK OF INDIA,SBIN,SBIN-EQ,3045,Ok,25-07-2023 09:15:00,1690256700,1828.00,1828.00,1807.50,1809.30,1816.70,238784,0,238784,0
SHREE CEMENT LIMITED,SHREECEM,SHREECEM-EQ,3103,Ok,25-07-2023 09:15:00,1690256700,2044.00,2127.65,2044.00,2105.55,2091.37,815897,0,815897,0
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,SHRIRAMFIN-EQ,4306,Ok,25-07-2023 09:15:00,1690256700,621.00,621.45,617.75,618.70,619.70,851563,0,851563,0
SRF LTD,SRF,SRF-EQ,3273,Ok,25-07-2023 09:15:00,1690256700,232.25,232.25,230.60,231.35,231.25,694725,0,694725,0
SUN PHARMACEUTICAL IND L,SUNPHARMA,SUNPHARMA-EQ,3351,Ok,25-07-2023 09:15:00,1690256700,23237.05,23486.00,23200.00,23455.45,23378.36,3241,0,3241,0
COAL INDIA LTD,COALINDIA,COALINDIA-EQ,20374,Ok,25-07-2023 09:15:00,1690256700,1105.05,1107.90,1102.00,1105.25,1105.65,88054,0,88054,0
SYNGENE INTERNATIONAL LTD,SYNGENE,SYNGENE-EQ,10243,Ok,25-07-2023 09:15:00,1690256700,1631.20,1635.00,1616.90,1628.00,1627.40,63621,0,63621,0
HINDUSTAN UNILEVER LTD.,HINDUNILVR,HINDUNILVR-EQ,1394,Ok,25-07-2023 09:15:00,1690256700,995.40,997.95,989.30,989.30,994.27,1049686,0,1049686,0
TATA CHEMICALS LTD,TATACHEM,TATACHEM-EQ,3405,Ok,25-07-2023 09:15:00,1690256700,2579.00,2582.90,2568.70,2577.95,2574.37,119176,0,119176,0
TATA COMMUNICATIONS LTD,TATACOMM,TATACOMM-EQ,3721,Ok,25-07-2023 09:15:00,1690256700,995.00,995.00,985.35,986.30,988.44,68187,0,68187,0
